file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/SJF.java,SJF,class,3,19,1,24,0,7,1,4,0,0,0,0,0,0,14,0,7,7,0,0,0,0,0,133,2,7,5,0,3,11,21,32,13,13,28,2,2,2,0,10
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BinaryToOctal.java,BinaryToOctal,class,1,3,1,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,1,0,0,0,1,7,9,6,6,5,1,0,0,0,31
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BalancedBrackets.java,data_structures.Stacks.BalancedBrackets,class,2,16,1,8,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,5,1,4,1,0,3,0,4,2,2,4,2,0,0,0,63
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/CycleSort.java,Sorts.CycleSort,class,4,14,1,6,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,2,6,3,0,0,1,24,17,3,3,9,3,0,0,0,22
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BogoSort.java,Sorts.BogoSort,class,4,8,1,8,6,4,3,2,2,0,0,0,0,0,1,1,0,1,0,0,1,0,6,31,3,3,0,0,0,5,13,8,4,4,8,1,0,0,0,25
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Knapsack.java,Knapsack,class,2,7,1,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,1,2,2,0,0,0,20,10,10,10,7,2,0,0,0,8
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Dijkshtra.java,Dijkshtra,class,1,13,1,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,0,6,0,0,0,3,11,22,5,5,16,3,0,0,0,20
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/NodeStack.java,NodeStack,class,6,21,1,15,89,19,4,8,11,0,0,0,0,0,5,2,0,5,0,0,0,0,7,93,9,1,1,0,0,5,9,16,4,4,11,1,0,0,0,86
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BFS.java,BFS,class,2,9,1,9,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,4,0,0,0,0,11,15,0,0,11,3,0,0,0,42
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Fibonacci.java,Fibonacci,class,1,10,1,8,6,4,4,1,3,0,0,0,0,0,1,1,0,1,0,0,0,0,5,51,5,2,1,0,0,0,12,15,7,7,11,2,0,0,0,69
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BinaryToDecimal.java,BinaryToDecimal,class,0,2,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,0,0,2,6,8,3,3,6,1,0,0,0,23
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/EulersFunction.java,EulersFunction,class,1,7,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,3,2,0,0,0,6,6,5,5,3,2,0,0,0,9
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/ListController.java,org.launchcode.controllers.ListController,class,5,5,1,7,0,4,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,48,4,0,0,0,0,32,0,4,2,2,4,1,0,0,0,21
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/heap_sort.java,heap_sort,class,2,12,1,6,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,3,0,0,0,2,19,19,8,8,13,1,0,0,0,16
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/genericheap.java,genericheap,class,2,19,1,12,0,11,0,7,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,74,7,0,4,0,1,0,14,13,9,9,11,1,0,0,0,30
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/MinPriorityQueue.java,DataStructures.Heaps.MinPriorityQueue,class,2,27,1,8,0,10,1,8,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,96,7,4,2,0,0,1,48,23,31,31,12,3,0,0,0,27
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Queues.java,Queues,class,2,13,1,9,0,9,1,9,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,65,9,0,4,0,2,1,14,10,1,1,7,1,0,1,0,71
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/AnytoAny.java,Java.Conversions.AnytoAny,class,0,3,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,2,0,9,14,6,6,7,1,0,0,0,12
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/BrianKernighanAlgorithm.java,BrianKernighanAlgorithm,class,1,3,1,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,1,0,0,1,0,3,5,1,1,4,1,0,0,0,60
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/QuickSort.java,Sorts.QuickSort,class,4,9,1,6,6,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,42,2,3,0,0,1,5,21,6,4,4,6,2,0,0,0,47
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/RodCutting.java,RodCutting,class,2,4,1,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,1,2,0,0,0,1,11,9,4,4,6,1,0,0,0,34
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/PriorityQueues.java,PriorityQueues,class,2,12,1,4,0,8,1,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,52,5,2,3,0,2,2,15,9,4,4,6,2,0,1,0,82
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/DecimalToOctal.java,Decimal_Octal,class,0,2,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,0,0,2,6,8,3,3,6,1,0,0,0,23
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Edit_Distance.java,Edit_Distance,class,2,9,1,5,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,1,4,1,0,0,5,18,23,12,12,17,3,0,0,0,28
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/TechjobsApplicationTests.java,org.launchcode.TechjobsApplicationTests,class,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/Caesar.java,ciphers.Caesar,class,1,21,1,10,10,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,69,4,4,0,0,4,7,12,24,7,7,12,2,0,0,0,89
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/krishnamurthy.java,krishnamurthy,class,1,5,1,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1,2,1,0,0,3,6,10,6,6,7,1,0,0,0,15
/Users/rachitshah/OneDrive/NCSU/sem 2/se/project/csc510-project/CodeQualityPortal/CodeQualityPortal/temp/ClosestPair.java,divideconquer.ClosestPair,class,2,36,1,13,37,10,1,9,0,0,0,0,0,0,6,2,0,3,0,0,0,0,17,215,7,9,2,0,6,12,91,95,34,34,47,5,0,1,0,104
